[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.util.Objects.hashCode (0x00007f374fa1b010) [0x00007f374fa1b1c0, 0x00007f374fa1b3d0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.util.Preconditions.checkIndex (0x00007f374fa1b490) [0x00007f374fa1b640, 0x00007f374fa1b7e0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.net.URI.hash (0x00007f374fa1b890) [0x00007f374fa1ba60, 0x00007f374fa1bd28] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x00007f374fa1be90) [0x00007f374fa1c060, 0x00007f374fa1c450] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.charAt (0x00007f374fa1c610) [0x00007f374fa1c7c0, 0x00007f374fa1c980] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.name (0x00007f376f1b0010) [0x00007f376f1b01a0, 0x00007f376f1b0290] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,081s][debug  ][gc,nmethod  ] Register NMethod: java.lang.module.ModuleReference.descriptor (0x00007f376f1b0310) [0x00007f376f1b04a0, 0x00007f376f1b0590] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,082s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.isEmpty (0x00007f374fa1ca90) [0x00007f374fa1cc20, 0x00007f374fa1cdb8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,082s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOfChar (0x00007f374fa1ce90) [0x00007f374fa1d040, 0x00007f374fa1d260] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Math.min (0x00007f374fa1d390) [0x00007f374fa1d520, 0x00007f374fa1d650] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.io.File.getPath (0x00007f376f1b0610) [0x00007f376f1b07a0, 0x00007f376f1b0890] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.canEncode (0x00007f374fa1d710) [0x00007f374fa1d8a0, 0x00007f374fa1d9e0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x00007f374fa1da90) [0x00007f374fa1dce0, 0x00007f374fa1e560] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.System.arraycopy (0x00007f376f1b0910) [0x00007f376f1b0aa0, 0x00007f376f1b0c90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Math.max (0x00007f374fa1e810) [0x00007f374fa1e9a0, 0x00007f374fa1ead0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,083s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOf (0x00007f374fa1eb90) [0x00007f374fa1ed80, 0x00007f374fa1f298] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOf (0x00007f374fa1f490) [0x00007f374fa1f660, 0x00007f374fa1fb38] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLong (0x00007f376f1b0d10) [0x00007f376f1b0ea0, 0x00007f376f1b1080] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.mismatch (0x00007f374fa1fd90) [0x00007f374fa1ff60, 0x00007f374fa20380] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x00007f374fa20590) [0x00007f374fa20740, 0x00007f374fa20880] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.indexOf (0x00007f374fa20910) [0x00007f374fa20b00, 0x00007f374fa21008] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.indexOf (0x00007f374fa21210) [0x00007f374fa213c0, 0x00007f374fa21500] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLongUnaligned (0x00007f374fa21590) [0x00007f374fa21780, 0x00007f374fa21b90] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.io.File.getPrefixLength (0x00007f376f1b1090) [0x00007f376f1b1220, 0x00007f376f1b12e0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,084s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.lastIndexOf (0x00007f374fa21c90) [0x00007f374fa21e60, 0x00007f374fa22240] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,085s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceVolatile (0x00007f376f1b1390) [0x00007f376f1b1540, 0x00007f376f1b18f0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
